ID,Site,Kind,Latitude,Longitude,Notes,Address
1,37517,State,45.04371628,-93.37088027,,
2,37530,State,45.03342012,-93.37027067,,
3,37891,State,45.04364725,-93.3610319,,
4,37893,State,45.04305632,-93.37033758,,
5,37896,State,45.05533249,-93.36040988,,
6,37904,State,45.02052372,-93.34318115,,
7,37905,State,45.02149171,-93.35011663,,
8,37906,State,45.02181638,-93.35924383,,
9,37907,State,45.02186689,-93.36326139,,
10,37908,State,45.05407899,-93.36239945,,
11,37911,State,45.03332252,-93.35625375,SCHOOL,
12,37912,State,45.0314879,-93.35624676,SCHOOL,
13,37921,State,45.03999348,-93.3521939,,
14,37922,State,45.04000722,-93.3593471,,
15,37924,State,45.04004077,-93.36944261,,
16,37926,State,45.06529473,-93.36660413,,
17,37929,State,45.05158084,-93.35436635,,
18,37930,State,45.05326016,-93.34498628,,
19,37935,State,45.03339201,-93.36514681,,
20,37936,State,45.03234798,-93.36513111,,
21,60894,State,45.04001722,-93.36107192,,
22,61530,State,45.05877204,-93.38044576,,
23,68002,State,45.03543476,-93.37028523,,
24,70188,State,45.05832354,-93.36854739,,
25,70190,State,45.05417752,-93.34496762,,
26,70330,State,45.05096647,-93.36244703,,
27,70626,State,45.052498,-93.362303,,
28,37885,State,45.01970262,-93.33880079,,3528 Noble Ave N
29,37887,State,45.037155,-93.351198,,
30,37888,State,45.04080333,-93.35143892,,4713 Welcome Ave N
31,37890,State,45.04564578,-93.35398663,,
32,37894,State,45.0512954,-93.36027969,,5400 Douglas Dr N
33,37898,State,45.01460531,-93.36090402,,
34,37900,State,45.01463223,-93.37105198,,
35,37901,State,45.01539402,-93.37275667,,
36,37910,State,45.03972404,-93.3563492,SCHOOL,4651 Adair Ave N
37,37913,State,45.0242622,-93.35954368,,6218 38th Ave N
38,37915,State,45.01456271,-93.35653213,,6001 32nd Ave N
39,37916,State,45.014654,-93.376466,,
40,37917,State,45.01467358,-93.38096829,,
41,37932,State,45.04256132,-93.35003621,,
42,37937,State,45.02505036,-93.36511727,,3809 Hampshire Ave N
43,37938,State,45.0243611,-93.36088943,,6309 38th Ave N
44,37941,State,45.02112652,-93.36511204,,3540 Hampshire Ave N
45,37942,State,45.0213365,-93.35753062,,
46,37943,State,45.02244513,-93.35622114,SCHOOL,3618 Adair Ave N
47,37944,State,45.02259462,-93.35078087,,3624 Welcome Ave N
48,37945,State,45.02072296,-93.35082578,,
49,37947,State,45.018131,-93.356751,,6009 34th Ave N
50,37948,State,45.01824707,-93.36075398,,
51,37950,State,45.01596172,-93.35750717,,
52,37953,State,45.01527873,-93.35125639,,
53,37954,State,45.00808814,-93.36531979,,
54,38952,State,45.01460703,-93.35929251,,
55,61533,State,45.01412332,-93.37026042,,
56,69087,State,45.0586413,-93.37058788,,7206 58th Ave N
57,69088,State,45.04507305,-93.35134162,,
58,70189,State,45.05829145,-93.34064016,,
59,70624,State,45.038133,-93.351547,,
60,70625,State,45.039726,-93.353011,,4649 Xenia Ave N
61,75980,State,45.042678,-93.372381,HPMS,4848 Nevada Ave N
62,75981,State,45.039974,-93.370475,HPMS,4701 Louisiana Ave N
63,N/A,Local,45.008896,-93.365205,,2809 Hampshire Ave N
64,N/A,Local,45.010613,-93.365189,,2941 Hampshire Ave N
65,N/A,Local,45.028785,-93.368066,,4017 Jersey Ave N
66,N/A,Local,45.042734,-93.360176,,4825 Douglas Dr N
67,N/A,Local,45.049424,-93.371607,,5240 Maryland Ave N
68,N/A,Local,,,,5336 Kentucky Ave N
69,N/A,Local,45.052539,-93.370181,,5437 Louisiana Ave N
70,N/A,Local,45.056952,-93.361412,,5716 Elmhurst Ave N
71,N/A,Local,45.030956,-93.362117,,6420 41st Ave N
72,N/A,Local,45.049411,-93.364677,,6608 53rd Ave N
73,N/A,Local,45.036715,-93.365197,,6702 45th Ave N
